transaction_id,account_id,customer_id,txn_date,txn_amount,transaction_type,create_tsp
TNX20260306_0000001,ACC20260306_00001,CUS20260306_00001,2026-03-06,9397.83,Credit,2026-03-06 13:33:20
TNX20260306_0000002,ACC20260306_00001,CUS20260306_00001,2026-03-06,1915.72,Debit,2026-03-06 13:33:20
TNX20260306_0000003,ACC20260306_00001,CUS20260306_00001,2026-03-05,2082.54,Debit,2026-03-06 13:33:20
TNX20260306_0000004,ACC20260306_00001,CUS20260306_00001,2026-03-06,3121.51,Credit,2026-03-06 13:33:20
TNX20260306_0000005,ACC20260306_00001,CUS20260306_00001,2026-02-16,7155.57,Credit,2026-03-06 13:33:20
TNX20260306_0000006,ACC20260306_00002,CUS20260306_00002,2026-03-06,2944.49,Credit,2026-03-06 13:33:20
TNX20260306_0000007,ACC20260306_00002,CUS20260306_00002,2026-03-06,3496.58,Debit,2026-03-06 13:33:20
TNX20260306_0000008,ACC20260306_00002,CUS20260306_00002,2026-02-12,7539.36,Credit,2026-03-06 13:33:20
TNX20260306_0000009,ACC20260306_00002,CUS20260306_00002,2026-02-25,849.4,Credit,2026-03-06 13:33:20
TNX20260306_0000010,ACC20260306_00002,CUS20260306_00002,2026-03-06,4039.56,Credit,2026-03-06 13:33:20
TNX20260306_0000011,ACC20260306_00003,CUS20260306_00003,2026-03-06,4625.11,Credit,2026-03-06 13:33:20
TNX20260306_0000012,ACC20260306_00003,CUS20260306_00003,2026-02-28,9748.67,Debit,2026-03-06 13:33:20
TNX20260306_0000013,ACC20260306_00003,CUS20260306_00003,2026-02-27,1411.94,Debit,2026-03-06 13:33:20
TNX20260306_0000014,ACC20260306_00003,CUS20260306_00003,2026-02-09,1091.0,Debit,2026-03-06 13:33:20
TNX20260306_0000015,ACC20260306_00003,CUS20260306_00003,2026-03-06,3808.49,Debit,2026-03-06 13:33:20
TNX20260306_0000016,ACC20260306_00004,CUS20260306_00004,2026-03-06,2164.41,Debit,2026-03-06 13:33:20
TNX20260306_0000017,ACC20260306_00004,CUS20260306_00004,2026-03-06,4597.53,Credit,2026-03-06 13:33:20
TNX20260306_0000018,ACC20260306_00004,CUS20260306_00004,2026-03-06,813.09,Debit,2026-03-06 13:33:20
TNX20260306_0000019,ACC20260306_00004,CUS20260306_00004,2026-03-06,6351.22,Debit,2026-03-06 13:33:20
TNX20260306_0000020,ACC20260306_00004,CUS20260306_00004,2026-03-06,7330.82,Credit,2026-03-06 13:33:20
TNX20260306_0000021,ACC20260306_00005,CUS20260306_00005,2026-03-06,1601.8,Credit,2026-03-06 13:33:20
TNX20260306_0000022,ACC20260306_00005,CUS20260306_00005,2026-03-06,792.65,Credit,2026-03-06 13:33:20
