loan_id,customer_id,loan_type,loan_amount,loan_date,status,created_at
LOAN20260309_0001,CUS20260309_00035,Car,449583.41,2026-01-17,Approved,2026-03-09 11:19:02
LOAN20260309_0002,CUS20260309_00039,Home,471177.47,2026-03-09,Rejected,2026-03-09 11:19:02
LOAN20260309_0003,CUS20260309_00029,Car,562216.97,2026-03-09,Pending,2026-03-09 11:19:02
LOAN20260309_0004,CUS20260309_00001,Car,882726.69,2026-01-22,Pending,2026-03-09 11:19:02
LOAN20260309_0005,CUS20260309_00002,Personal,80541.43,2026-03-09,Pending,2026-03-09 11:19:02
LOAN20260309_0006,CUS20260309_00036,Home,468445.62,2026-01-11,Pending,2026-03-09 11:19:02
LOAN20260309_0007,CUS20260309_00017,Home,686310.88,2026-01-10,Pending,2026-03-09 11:19:02
LOAN20260309_0008,CUS20260309_00043,Home,552879.46,2026-03-09,Rejected,2026-03-09 11:19:02
LOAN20260309_0009,CUS20260309_00046,Home,762267.27,2026-03-09,Approved,2026-03-09 11:19:02
LOAN20260309_0010,CUS20260309_00032,Home,791244.95,2026-02-10,Approved,2026-03-09 11:19:02
LOAN20260309_0011,CUS20260309_00041,Personal,501934.03,2026-02-26,Approved,2026-03-09 11:19:02
LOAN20260309_0012,CUS20260309_00034,Car,233151.29,2026-03-09,Rejected,2026-03-09 11:19:02
LOAN20260309_0013,CUS20260309_00029,Car,826891.95,2026-01-29,Pending,2026-03-09 11:19:02
LOAN20260309_0014,CUS20260309_00023,Personal,576947.36,2026-01-09,Approved,2026-03-09 11:19:02
LOAN20260309_0015,CUS20260309_00007,Car,848024.62,2026-02-20,Rejected,2026-03-09 11:19:02
LOAN20260309_0016,CUS20260309_00039,Home,742588.91,2026-03-09,Pending,2026-03-09 11:19:02
LOAN20260309_0017,CUS20260309_00027,Car,163756.81,2026-03-09,Pending,2026-03-09 11:19:02
LOAN20260309_0018,CUS20260309_00020,Personal,731418.28,2026-03-09,Pending,2026-03-09 11:19:02
LOAN20260309_0019,CUS20260309_00011,Personal,276871.73,2026-03-09,Rejected,2026-03-09 11:19:02
LOAN20260309_0020,CUS20260309_00039,Car,869383.52,2026-03-09,Approved,2026-03-09 11:19:02
