transaction_id,account_id,customer_id,txn_date,txn_amount,transaction_type,create_tsp
TNX20260305_0000001,ACC20260305_00001,CUS20260305_00001,2026-03-05,6785.06,Debit,2026-03-05 17:03:41
TNX20260305_0000002,ACC20260305_00001,CUS20260305_00001,2026-03-05,491.29,Debit,2026-03-05 17:03:41
TNX20260305_0000003,ACC20260305_00001,CUS20260305_00001,2026-03-05,1398.34,Credit,2026-03-05 17:03:41
TNX20260305_0000004,ACC20260305_00001,CUS20260305_00001,2026-02-25,9780.99,Debit,2026-03-05 17:03:41
TNX20260305_0000005,ACC20260305_00001,CUS20260305_00001,2026-03-05,4129.22,Debit,2026-03-05 17:03:41
TNX20260305_0000006,ACC20260305_00002,CUS20260305_00002,2026-03-05,3455.04,Debit,2026-03-05 17:03:41
TNX20260305_0000007,ACC20260305_00002,CUS20260305_00002,2026-03-05,2561.69,Credit,2026-03-05 17:03:41
TNX20260305_0000008,ACC20260305_00002,CUS20260305_00002,2026-03-05,1275.68,Credit,2026-03-05 17:03:41
TNX20260305_0000009,ACC20260305_00002,CUS20260305_00002,2026-03-05,7659.88,Credit,2026-03-05 17:03:41
TNX20260305_0000010,ACC20260305_00002,CUS20260305_00002,2026-03-05,1406.41,Debit,2026-03-05 17:03:41
TNX20260305_0000011,ACC20260305_00003,CUS20260305_00003,2026-03-05,895.37,Credit,2026-03-05 17:03:41
TNX20260305_0000012,ACC20260305_00003,CUS20260305_00003,2026-03-05,6248.04,Debit,2026-03-05 17:03:41
TNX20260305_0000013,ACC20260305_00003,CUS20260305_00003,2026-03-05,9863.64,Debit,2026-03-05 17:03:41
TNX20260305_0000014,ACC20260305_00003,CUS20260305_00003,2026-02-23,131.46,Credit,2026-03-05 17:03:41
TNX20260305_0000015,ACC20260305_00003,CUS20260305_00003,2026-03-05,3905.25,Credit,2026-03-05 17:03:41
TNX20260305_0000016,ACC20260305_00004,CUS20260305_00004,2026-03-05,7489.07,Credit,2026-03-05 17:03:41
TNX20260305_0000017,ACC20260305_00004,CUS20260305_00004,2026-03-05,3080.49,Debit,2026-03-05 17:03:41
TNX20260305_0000018,ACC20260305_00004,CUS20260305_00004,2026-02-21,1669.87,Credit,2026-03-05 17:03:41
TNX20260305_0000019,ACC20260305_00004,CUS20260305_00004,2026-03-05,3433.33,Credit,2026-03-05 17:03:41
TNX20260305_0000020,ACC20260305_00004,CUS20260305_00004,2026-03-05,629.36,Credit,2026-03-05 17:03:41
TNX20260305_0000021,ACC20260305_00005,CUS20260305_00005,2026-03-05,6015.14,Credit,2026-03-05 17:03:41
TNX20260305_0000022,ACC20260305_00005,CUS20260305_00005,2026-02-11,8656.93,Credit,2026-03-05 17:03:41
TNX20260305_0000023,ACC20260305_00005,CUS20260305_00005,2026-03-05,8980.2,Debit,2026-03-05 17:03:41
TNX20260305_0000024,ACC20260305_00005,CUS20260305_00005,2026-03-05,3984.86,Debit,2026-03-05 17:03:41
TNX20260305_0000025,ACC20260305_00005,CUS20260305_00005,2026-03-05,4390.12,Debit,2026-03-05 17:03:41
TNX20260305_0000026,ACC20260305_00006,CUS20260305_00006,2026-03-05,3349.2,Credit,2026-03-05 17:03:41
TNX20260305_0000027,ACC20260305_00006,CUS20260305_00006,2026-03-05,4672.16,Debit,2026-03-05 17:03:41
TNX20260305_0000028,ACC20260305_00006,CUS20260305_00006,2026-03-05,4756.29,Credit,2026-03-05 17:03:41
TNX20260305_0000029,ACC20260305_00006,CUS20260305_00006,2026-03-05,7129.85,Credit,2026-03-05 17:03:41
TNX20260305_0000030,ACC20260305_00006,CUS20260305_00006,2026-02-26,6567.11,Debit,2026-03-05 17:03:41
TNX20260305_0000031,ACC20260305_00007,CUS20260305_00007,2026-03-05,2304.07,Debit,2026-03-05 17:03:41
TNX20260305_0000032,ACC20260305_00007,CUS20260305_00007,2026-03-05,5059.54,Debit,2026-03-05 17:03:41
TNX20260305_0000033,ACC20260305_00007,CUS20260305_00007,2026-03-05,2171.1,Credit,2026-03-05 17:03:41
TNX20260305_0000034,ACC20260305_00007,CUS20260305_00007,2026-02-19,5669.02,Credit,2026-03-05 17:03:41
TNX20260305_0000035,ACC20260305_00007,CUS20260305_00007,2026-03-05,7038.76,Credit,2026-03-05 17:03:41
TNX20260305_0000036,ACC20260305_00008,CUS20260305_00008,2026-02-19,9281.22,Credit,2026-03-05 17:03:41
TNX20260305_0000037,ACC20260305_00008,CUS20260305_00008,2026-03-05,6830.42,Credit,2026-03-05 17:03:41
TNX20260305_0000038,ACC20260305_00008,CUS20260305_00008,2026-03-05,6351.72,Debit,2026-03-05 17:03:41
TNX20260305_0000039,ACC20260305_00008,CUS20260305_00008,2026-02-13,7859.7,Credit,2026-03-05 17:03:41
TNX20260305_0000040,ACC20260305_00008,CUS20260305_00008,2026-02-14,7903.82,Debit,2026-03-05 17:03:41
