loan_id,customer_id,loan_type,loan_amount,loan_date,status,created_at
LOAN20260305_0001,CUS20260305_00041,Personal,786201.63,2026-01-23,Rejected,2026-03-05 17:09:58
LOAN20260305_0002,CUS20260305_00021,Home,249816.36,2026-03-05,Rejected,2026-03-05 17:09:58
LOAN20260305_0003,CUS20260305_00028,Personal,478467.39,2026-02-21,Pending,2026-03-05 17:09:58
LOAN20260305_0004,CUS20260305_00021,Personal,682216.7,2026-03-05,Rejected,2026-03-05 17:09:58
LOAN20260305_0005,CUS20260305_00001,Personal,563779.49,2026-03-05,Approved,2026-03-05 17:09:58
LOAN20260305_0006,CUS20260305_00043,Home,481865.21,2026-03-05,Approved,2026-03-05 17:09:58
LOAN20260305_0007,CUS20260305_00030,Home,756801.23,2026-03-05,Rejected,2026-03-05 17:09:58
LOAN20260305_0008,CUS20260305_00001,Car,420759.21,2026-03-05,Approved,2026-03-05 17:09:58
LOAN20260305_0009,CUS20260305_00027,Car,892197.67,2026-03-05,Rejected,2026-03-05 17:09:58
LOAN20260305_0010,CUS20260305_00032,Car,105908.66,2026-03-05,Approved,2026-03-05 17:09:58
LOAN20260305_0011,CUS20260305_00021,Car,671172.08,2026-03-05,Rejected,2026-03-05 17:09:58
LOAN20260305_0012,CUS20260305_00037,Personal,222527.62,2026-02-16,Rejected,2026-03-05 17:09:58
LOAN20260305_0013,CUS20260305_00041,Home,785708.09,2026-03-05,Approved,2026-03-05 17:09:58
LOAN20260305_0014,CUS20260305_00012,Personal,598897.84,2026-03-05,Approved,2026-03-05 17:09:58
LOAN20260305_0015,CUS20260305_00025,Home,382880.12,2026-03-05,Approved,2026-03-05 17:09:58
LOAN20260305_0016,CUS20260305_00019,Personal,534098.56,2026-03-05,Pending,2026-03-05 17:09:58
LOAN20260305_0017,CUS20260305_00041,Car,766965.31,2026-03-05,Pending,2026-03-05 17:09:58
LOAN20260305_0018,CUS20260305_00035,Car,533169.21,2026-03-05,Approved,2026-03-05 17:09:58
LOAN20260305_0019,CUS20260305_00042,Car,583405.8,2026-03-05,Rejected,2026-03-05 17:09:58
LOAN20260305_0020,CUS20260305_00048,Home,444149.4,2026-01-08,Approved,2026-03-05 17:09:58
